ID,Product Name,Price in ?,Discount %,Link
19,g shock watches,719,67,https://www.flipkart.com/mikalo-stylish-red-ring-gshock-analog-digital-watch-men/p/itmevnfyxujbrhmd?pid=WATEVNFYSZ3N3EYG&srno=s_3_2&otracker=search&lid=LSTWATEVNFYSZ3N3EYGOBFGQU&iid=0079859a-3b17-482a-9c45-8e114df15c33.WATEVNFYSZ3N3EYG.SEARCH&qH=a2f3f7bcee831312
20,g shock watches,449,82,https://www.flipkart.com/s-shock-gshock-analog-digital-watch-men/p/itmej3gfwmvkruqt?pid=WATEJ3GFCBW38HKX&srno=s_3_3&otracker=search&lid=LSTWATEJ3GFCBW38HKXVJF2ZC&iid=8e4d37d3-2434-4495-b053-7feb22961567.WATEJ3GFCBW38HKX.SEARCH&qH=a2f3f7bcee831312
21,g shock watches,719,64,https://www.flipkart.com/xergy-peacemaker-2017-series-water-resistant-alarm-stopwatch-led-light-dual-time-analog-digital-watch-men-women/p/itmeth3pwbnppkxa?pid=WATETH3P8PYSVZH4&srno=s_3_4&otracker=search&lid=LSTWATETH3P8PYSVZH4SKJZPT&iid=2767b5dd-655e-425a-8d5a-2eb3a8aa533e.WATETH3P8PYSVZH4.SEARCH&qH=a2f3f7bcee831312
1,watches,449,91,https://www.flipkart.com/iik-collection-butterfly-braclet-watch-analog-women/p/itmeez4etg3s3dqk?pid=WATEEZ4EHKKSNSGX&srno=s_21_20&otracker=search&lid=LSTWATEEZ4EHKKSNSGX6RJGQX&iid=0c276207-3b52-474d-926c-2715a3cbd7a4.WATEEZ4EHKKSNSGX.SEARCH&qH=2d6b6aad43dffa91
2,watches,449,91,https://www.flipkart.com/iik-collection-butterfly-braclet-watch-analog-women/p/itmeez4etg3s3dqk?pid=WATEEZ4EHKKSNSGX&srno=s_22_28&otracker=search&lid=LSTWATEEZ4EHKKSNSGX6RJGQX&iid=8a34aab9-4777-46b4-8172-50be13758a57.WATEEZ4EHKKSNSGX.SEARCH&qH=2d6b6aad43dffa91
3,watches,1178,90,https://www.flipkart.com/omezzle-latest-stand-alone-phone-watch-works-android-ios-mobiles-2-0mp-camera-smartwatch-analog-digital-men-women/p/itmegbnfneynptt2?pid=WATEGBNFDZ97TZHZ&srno=s_26_31&otracker=search&lid=LSTWATEGBNFDZ97TZHZGXRLJD&iid=86a9e154-d715-4c81-badb-d130dd7f38ff.WATEGBNFDZ97TZHZ.SEARCH&qH=2d6b6aad43dffa91
4,watches,1178,90,https://www.flipkart.com/omezzle-latest-stand-alone-phone-watch-works-android-ios-mobiles-2-0mp-camera-smartwatch-analog-digital-men-women/p/itmegbnfneynptt2?pid=WATEGBNFDZ97TZHZ&srno=s_28_16&otracker=search&lid=LSTWATEGBNFDZ97TZHZGXRLJD&iid=a7f5e51c-5134-4581-9201-09e47f209df0.WATEGBNFDZ97TZHZ.SEARCH&qH=2d6b6aad43dffa91
5,watches,449,90,https://www.flipkart.com/iik-collection-braclet-pack-5-geniuen-leather-analog-watch-women/p/itmeez4eyespczez?pid=WATEEZ4EBXDUAHEC&srno=s_35_1&otracker=search&lid=LSTWATEEZ4EBXDUAHECS6FYDN&iid=5a41654c-6e82-49e4-bef8-4401bfc8f6fe.WATEEZ4EBXDUAHEC.SEARCH&qH=2d6b6aad43dffa91
6,watches,449,90,https://www.flipkart.com/iik-collection-braclet-pack-5-geniuen-leather-analog-watch-women/p/itmeez4eyespczez?pid=WATEEZ4EBXDUAHEC&srno=s_37_8&otracker=search&lid=LSTWATEEZ4EBXDUAHECS6FYDN&iid=3417bedb-b509-4c59-b4f8-aaecc7257c8a.WATEEZ4EBXDUAHEC.SEARCH&qH=2d6b6aad43dffa91
1,stag mens sports shoe,369,71,https://www.flipkart.com/stag-dribble-football-shoes/p/itmehvfur94faezg?pid=SHOEHVFUUSZNJPGN&srno=s_1_1&otracker=search&lid=LSTSHOEHVFUUSZNJPGNCCK0K1&iid=b0f5125a-27b4-4018-bf4f-1c9000c12aed.SHOEHVFUUSZNJPGN.SEARCH&qH=57c6ce7fa4c8bdd8
2,stag mens sports shoe,369,71,https://www.flipkart.com/stag-hyper-strike-football-shoes/p/itmeszmuenwy6wgz?pid=SHOEHVFUPTGU9XHG&srno=s_1_2&otracker=search&lid=LSTSHOEHVFUPTGU9XHGYTYMVX&iid=d46cd773-b3dd-4ce2-8f22-9730f2600d53.SHOEHVFUPTGU9XHG.SEARCH&qH=57c6ce7fa4c8bdd8
3,stag mens sports shoe,369,71,https://www.flipkart.com/stag-force-football-turf-shoes/p/itmehvfuuwcffcrq?pid=SHOEHVFUG8EFW3BY&srno=s_1_3&otracker=search&lid=LSTSHOEHVFUG8EFW3BYRQQV1A&iid=406976ba-e02c-44eb-9c53-d75f4558c092.SHOEHVFUG8EFW3BY.SEARCH&qH=57c6ce7fa4c8bdd8
4,stag mens sports shoe,429,71,https://www.flipkart.com/stag-trainer-cricket-shoes/p/itmehvfu6vkprghy?pid=SHOEHVFUVBUVF5NE&srno=s_1_5&otracker=search&lid=LSTSHOEHVFUVBUVF5NEDS5JY4&iid=5fbc6824-0317-4bc1-b6a8-709e0a5e1a8b.SHOEHVFUVBUVF5NE.SEARCH&qH=57c6ce7fa4c8bdd8
5,stag mens sports shoe,369,71,https://www.flipkart.com/stag-vortex-football-shoes/p/itmehvfuh7h8qkrd?pid=SHOEHVFUQQNGGM5G&srno=s_1_6&otracker=search&lid=LSTSHOEHVFUQQNGGM5GRPUQRT&iid=9416916f-bb5e-4481-bc40-7195e8cb578e.SHOEHVFUQQNGGM5G.SEARCH&qH=57c6ce7fa4c8bdd8
6,stag mens sports shoe,369,71,https://www.flipkart.com/stag-vortex-football-turf-shoes/p/itmez9bs3fky2axf?pid=SHOEHVFUGSGNBSXG&srno=s_1_7&otracker=search&lid=LSTSHOEHVFUGSGNBSXGKZANYC&iid=eeb3ec20-2406-4475-835d-b6080e1f74ca.SHOEHVFUGSGNBSXG.SEARCH&qH=57c6ce7fa4c8bdd8
7,stag mens sports shoe,429,71,https://www.flipkart.com/stag-strike-football-shoes/p/itmehvfu33bwp6ns?pid=SHOEHVFUBJERQ7QX&srno=s_1_8&otracker=search&lid=LSTSHOEHVFUBJERQ7QXAFEAPD&iid=f4409991-780d-434f-ae60-15fab4ce5b69.SHOEHVFUBJERQ7QX.SEARCH&qH=57c6ce7fa4c8bdd8
8,stag mens sports shoe,429,71,https://www.flipkart.com/stag-valento-football-shoes/p/itmehvfukmb8e33u?pid=SHOEHVFU48Q6ZMZE&srno=s_1_9&otracker=search&lid=LSTSHOEHVFU48Q6ZMZEPQTISU&iid=f73a2f39-3b14-48a0-ad30-955aa383cc7a.SHOEHVFU48Q6ZMZE.SEARCH&qH=57c6ce7fa4c8bdd8
9,stag mens sports shoe,369,71,https://www.flipkart.com/stag-force-football-shoes/p/itmehvfuhktzawke?pid=SHOEHVFUSZXHXXRM&srno=s_1_10&otracker=search&lid=LSTSHOEHVFUSZXHXXRMNCLZAM&iid=a67f1bad-fed4-431c-b612-eb37309e63f6.SHOEHVFUSZXHXXRM.SEARCH&qH=57c6ce7fa4c8bdd8
10,stag mens sports shoe,429,71,https://www.flipkart.com/stag-trainer-cricket-shoes/p/itmehvfuqbyh6cau?pid=SHOEHVFUTUGAHN46&srno=s_1_12&otracker=search&lid=LSTSHOEHVFUTUGAHN467O4ENP&iid=67c65781-4152-44de-978c-7ada6e2eade3.SHOEHVFUTUGAHN46.SEARCH&qH=57c6ce7fa4c8bdd8
11,stag mens sports shoe,369,71,https://www.flipkart.com/stag-vortex-football-shoes/p/itmehvfufmhttrkp?pid=SHOEHVFUB784AP9M&srno=s_1_16&otracker=search&lid=LSTSHOEHVFUB784AP9MDGSFTN&iid=13c2076a-f483-467b-80a9-8f3e7d9753e9.SHOEHVFUB784AP9M.SEARCH&qH=57c6ce7fa4c8bdd8
12,stag mens sports shoe,369,71,https://www.flipkart.com/stag-vortex-football-shoes/p/itmehvfuzhtjhugf?pid=SHOEHVFU5F3FBZHR&srno=s_1_19&otracker=search&lid=LSTSHOEHVFU5F3FBZHRJJHBCH&iid=46ce7607-343d-4fbd-92dc-2dd79c5cbfe4.SHOEHVFU5F3FBZHR.SEARCH&qH=57c6ce7fa4c8bdd8
13,stag mens sports shoe,459,71,https://www.flipkart.com/stag-dominator-running-shoes/p/itmehvfufqxaugtf?pid=SHOEHVFUEGSZGZCU&srno=s_1_20&otracker=search&lid=LSTSHOEHVFUEGSZGZCUYGQ93U&iid=8a40e9a2-03ce-4cfb-b16f-befd9059fa70.SHOEHVFUEGSZGZCU.SEARCH&qH=57c6ce7fa4c8bdd8
14,stag mens sports shoe,429,71,https://www.flipkart.com/stag-strike-football-shoes/p/itmehvfucjfwjmud?pid=SHOEHVFU7YAHTTFY&srno=s_1_21&otracker=search&lid=LSTSHOEHVFU7YAHTTFYBSBGHF&iid=e91c38c1-4c36-4050-9ec6-bbfbf6e2dbcf.SHOEHVFU7YAHTTFY.SEARCH&qH=57c6ce7fa4c8bdd8
15,stag mens sports shoe,319,70,https://www.flipkart.com/stag-kross-football-shoes/p/itmehvfuzyyzbh32?pid=SHOEHVFUXFT7ZDGC&srno=s_1_24&otracker=search&lid=LSTSHOEHVFUXFT7ZDGCHPVF6C&iid=b0164941-ca6d-4eea-99fe-7d615d16d30f.SHOEHVFUXFT7ZDGC.SEARCH&qH=57c6ce7fa4c8bdd8
16,stag mens sports shoe,429,71,https://www.flipkart.com/stag-valento-football-shoes/p/itmehvfujtk6adwg?pid=SHOEHVFUZGDTAKB9&srno=s_1_25&otracker=search&lid=LSTSHOEHVFUZGDTAKB9ZXVBYW&iid=3bef028c-502d-4078-92af-d92ac44ef08f.SHOEHVFUZGDTAKB9.SEARCH&qH=57c6ce7fa4c8bdd8
1,2GB RAM,799,60,https://www.flipkart.com/2-gb-genuine-ddr2-single-channel-pc-h15201504-8/p/itmedjg5bbfdy5cq?pid=RAME6J6FY3KJHSZH&srno=s_2_7&otracker=search&lid=LSTRAME6J6FY3KJHSZHBLGRCL&iid=46413f62-8e22-40d1-9536-c0df06475985.RAME6J6FY3KJHSZH.SEARCH&qH=271356347147b513
2,2GB RAM,937,68,https://www.flipkart.com/transcend-premium-memory-ddr2-2-gb-pc-sdram-jm800qlu-2g/p/itmd2rypzhmmcjwa?pid=RAMEGFGCHMH8AN8W&srno=s_6_39&otracker=search&lid=LSTRAMEGFGCHMH8AN8WAQVY8R&iid=b8530a74-dd1f-4c10-b5b7-07ac6a66ba95.RAMEGFGCHMH8AN8W.SEARCH&qH=271356347147b513
3,2GB RAM,5925,57,https://www.flipkart.com/zebronics-assembled-core-2-duo-desktop-pc-mini-tower-e7500-ram-320-hard-disk/p/itme8x2pzjresvyn?pid=CPUE8X2PQF2HYHFZ&srno=s_12_8&otracker=search&lid=LSTCPUE8X2PQF2HYHFZS9OVTW&iid=575c5af1-d825-40dc-a5be-4badeb6e754b.CPUE8X2PQF2HYHFZ.SEARCH&qH=271356347147b513
4,2GB RAM,6149,50,https://www.flipkart.com/foxin-axe-red-blue-c2d-core2duo-2-ram-250-hard-disk/p/itmez8aasdufeczg?pid=CPUEZ8AAHZ29Z4EX&srno=s_12_10&otracker=search&lid=LSTCPUEZ8AAHZ29Z4EXS8AHOG&iid=49aa2422-5600-4b43-80c1-86b49286fc76.CPUEZ8AAHZ29Z4EX.SEARCH&qH=271356347147b513
5,2GB RAM,5825,61,https://www.flipkart.com/zebronics-spree-320-2gb-c2d-core2duo-2-ram-320-hard-disk/p/itmehz99mqqgjdjx?pid=CPUEHZ99SGGHZA8G&srno=s_12_11&otracker=search&lid=LSTCPUEHZ99SGGHZA8GSTX4VM&iid=eb7a022b-7f9b-4637-92df-51d07c9d5f06.CPUEHZ99SGGHZA8G.SEARCH&qH=271356347147b513
6,2GB RAM,5999,66,https://www.flipkart.com/foxin-fc1108-dual-core-2-ram-320-hard-disk/p/itmetfcmzchzujmb?pid=CPUETFCMAKVAP4QF&srno=s_12_24&otracker=search&lid=LSTCPUETFCMAKVAP4QF7WU9NZ&iid=cb721509-ed6a-46d3-86ca-a982c3419fdf.CPUETFCMAKVAP4QF.SEARCH&qH=271356347147b513
7,2GB RAM,5745,65,https://www.flipkart.com/zebronics-mas-1-core2duo-2-ram-250-hard-disk/p/itmeem6yhzqq8wrs?pid=CPUEEM6YQMBVUBHM&srno=s_12_30&otracker=search&lid=LSTCPUEEM6YQMBVUBHMWZCPTU&iid=ebc09891-1e1f-43de-9ddb-46626adab2bd.CPUEEM6YQMBVUBHM.SEARCH&qH=271356347147b513
8,2GB RAM,7590,75,https://www.flipkart.com/basama-rdc4320d-dual-core-2-ram-320-hard-disk/p/itmes6kywywrpcgu?pid=CPUES6KYENKKY8DB&srno=s_12_31&otracker=search&lid=LSTCPUES6KYENKKY8DB0PXN9F&iid=71741025-4237-4d35-96cd-4c47c16b6946.CPUES6KYENKKY8DB.SEARCH&qH=271356347147b513
9,2GB RAM,5729,79,https://www.flipkart.com/basama-rdc2160-dual-core-2-ram-160-hard-disk/p/itmes6ky94whw4yv?pid=CPUES6KYFZEHURVZ&srno=s_12_32&otracker=search&lid=LSTCPUES6KYFZEHURVZCIHV9Q&iid=c235dd6d-6d7f-4337-a8cb-87d0b9456264.CPUES6KYFZEHURVZ.SEARCH&qH=271356347147b513
10,2GB RAM,6549,70,https://www.flipkart.com/basama-rdc4250-dual-core-2-ram-250-hard-disk/p/itmes6kyywxpcsuf?pid=CPUES6KYFMGRDYGJ&srno=s_12_34&otracker=search&lid=LSTCPUES6KYFMGRDYGJOAZZAI&iid=e9b557de-2d78-4d83-a5d1-8cfe829c69b7.CPUES6KYFMGRDYGJ.SEARCH&qH=271356347147b513
11,2GB RAM,8799,66,https://www.flipkart.com/basama-rdc4500d-dual-core-2-ram-500-hard-disk/p/itmes6j97ptqpuhp?pid=CPUES6J9PFGDY532&srno=s_12_35&otracker=search&lid=LSTCPUES6J9PFGDY532JVFQCO&iid=988ecabd-c944-437a-bd11-3b11f6120c46.CPUES6J9PFGDY532.SEARCH&qH=271356347147b513
12,2GB RAM,6749,73,https://www.flipkart.com/basama-rdc2250d-dual-core-2-ram-250-hard-disk/p/itmes6kyuvardqbv?pid=CPUES6KYFHJZMZYA&srno=s_12_36&otracker=search&lid=LSTCPUES6KYFHJZMZYAVUMO7F&iid=cd5fdc27-4ba5-4a38-aa71-bbfdcaa3b2e2.CPUES6KYFHJZMZYA.SEARCH&qH=271356347147b513
13,2GB RAM,7410,53,https://www.flipkart.com/foxin-axe-red-blue-1102-500-core2duo-2-ram-hard-disk/p/itmez8ab6upaerz9?pid=CPUEZ8A7WSUJHVYM&srno=s_12_37&otracker=search&lid=LSTCPUEZ8A7WSUJHVYMBIHLNN&iid=3c758a69-8f44-4e1c-81bd-ffa19a4db774.CPUEZ8A7WSUJHVYM.SEARCH&qH=271356347147b513
14,2GB RAM,5925,57,https://www.flipkart.com/zebronics-assembled-core-2-duo-desktop-pc-mini-tower-e7500-ram-320-hard-disk/p/itme8x2pzjresvyn?pid=CPUE8X2PQF2HYHFZ&srno=s_14_12&otracker=search&lid=LSTCPUE8X2PQF2HYHFZS9OVTW&iid=bbd0002a-2500-4a88-b79c-3d4349fc4745.CPUE8X2PQF2HYHFZ.SEARCH&qH=271356347147b513
15,2GB RAM,6149,50,https://www.flipkart.com/foxin-axe-red-blue-c2d-core2duo-2-ram-250-hard-disk/p/itmez8aasdufeczg?pid=CPUEZ8AAHZ29Z4EX&srno=s_14_14&otracker=search&lid=LSTCPUEZ8AAHZ29Z4EXS8AHOG&iid=246b019f-542f-4074-8190-1682aa219811.CPUEZ8AAHZ29Z4EX.SEARCH&qH=271356347147b513
16,2GB RAM,5825,61,https://www.flipkart.com/zebronics-spree-320-2gb-c2d-core2duo-2-ram-320-hard-disk/p/itmehz99mqqgjdjx?pid=CPUEHZ99SGGHZA8G&srno=s_14_15&otracker=search&lid=LSTCPUEHZ99SGGHZA8GSTX4VM&iid=b970ce2e-a8bd-4ada-9cbe-0ffde9c3c795.CPUEHZ99SGGHZA8G.SEARCH&qH=271356347147b513
17,2GB RAM,5999,66,https://www.flipkart.com/foxin-fc1108-dual-core-2-ram-320-hard-disk/p/itmetfcmzchzujmb?pid=CPUETFCMAKVAP4QF&srno=s_14_28&otracker=search&lid=LSTCPUETFCMAKVAP4QF7WU9NZ&iid=dc0c5f6b-9669-4b1b-8433-e8a92379eb60.CPUETFCMAKVAP4QF.SEARCH&qH=271356347147b513
18,2GB RAM,5745,65,https://www.flipkart.com/zebronics-mas-1-core2duo-2-ram-250-hard-disk/p/itmeem6yhzqq8wrs?pid=CPUEEM6YQMBVUBHM&srno=s_14_34&otracker=search&lid=LSTCPUEEM6YQMBVUBHMWZCPTU&iid=e7b6a3dd-acb1-4ad7-ac83-4bf833557171.CPUEEM6YQMBVUBHM.SEARCH&qH=271356347147b513
19,2GB RAM,6549,70,https://www.flipkart.com/basama-rdc4250-dual-core-2-ram-250-hard-disk/p/itmes6kyywxpcsuf?pid=CPUES6KYFMGRDYGJ&srno=s_14_35&otracker=search&lid=LSTCPUES6KYFMGRDYGJOAZZAI&iid=2d2ad1b8-c0a9-4564-896c-f5373ed9fcad.CPUES6KYFMGRDYGJ.SEARCH&qH=271356347147b513
